Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,7.9,17,1,,81,0,9.5,5,14.8,,,,,
2,7.4,18,0.9,,80,0,6.8,3.1,11.1,,,,,
3,8.9,17,0.8,,85,0,7.1,4.1,14.8,,,,,
4,11.9,16,5,,76,0,7.4,4.4,11.1,,,,,
5,8.5,17,2,,82,0,8.2,3.7,16.5,,,,,
6,7.7,17,0.8,,81,0,6.9,3.3,13,,,,,
7,8.3,14,2,,85,0,5.8,5,9.4,,,,,
8,11.8,16,7.6,,82,0,8.2,8.1,16.5,,,,,
9,11.6,17,7,,84,,9.5,7.2,14.8,,,,,
10,11.4,15,9.6,,92,3.05,8,7.8,16.5,,,,,
11,11.7,16,8.8,,91,6.1,8.5,8.1,18.3,,,,,
12,9.9,13,7.9,,93,3.05,9.3,9.3,20.6,,,,,
13,10.3,16,5,,84,11.94,9.7,7.2,16.5,,,,,
14,8.2,17,1,,76,0,6.6,4.3,11.1,,,,,
15,7.6,17.1,0,,80,0,9.7,3.9,13,,,,,
16,8.1,17,1,,79,0,8.2,3,11.1,,,,,
17,9.3,19,1.9,,73,0,9.2,6.1,18.7,,,,,
18,10.1,19,4,,77,0,10,4.4,14.8,,,,,
19,11.9,17.5,6.5,,83,0.51,9.2,7,18.3,,,,,
20,12.4,16,10.7,,72,7.11,10,10.7,37,57.6,,,,
21,15.2,18.2,8,,48,0,6.1,20,42.8,79.8,,,,
22,15.1,21,8.1,,52,0,5.6,11.1,35.2,,,,,
23,11.9,18,5,,78,0,8.7,6.7,16.5,,,,,
24,9.9,21,3,,73,0,8.7,4.1,18.7,,,,,
25,13.7,23,4.4,,53,0,10,8.3,22.2,,,,,
26,12.3,18,8,,75,,10,9.6,25.9,,,,,
27,11.8,19,6,,76,0,10,6.9,13,,,,,
28,11.5,20,4,,70,0,10.3,9.1,24.1,,,,,
29,12.8,20.1,6.8,,73,0,10,7.8,13,,,,,
30,11.3,20,5,,78,0,10,3.9,11.1,,,,,
31,12.5,21,5.4,,71,0,10.1,9.1,24.1,,,,,
